Site,BodyTemp,Sex,Weather,RattleDistance,Julian.Date,SVLCM,WeightG,BodyCondition
1,25.6,2,100,0.35,20163,55,94,1.709090909
1,32.7,2,5,0,20169,75.6,378,5
1,11.2,2,0,0,20174,46.8,65,1.388888889
1,12.5,2,0,0,20174,56.4,130,2.304964539
1,31.1,2,90,0,20189,69.4,240,3.458213256
1,27.8,2,90,0,20189,59.2,191,3.226351351
1,33.6,2,0,0,20195,60.8,174,2.861842105
1,37.5,2,0,0,20196,66.5,228,3.428571429
1,28.2,2,0,0,20201,58.5,128,2.188034188
1,31.9,2,0,0,20209,63.4,185,2.917981073
1,28.1,2,0,0.7,20209,68.2,250,3.66568915
1,18.9,2,0,0,20210,62.3,205,3.290529695
1,28.4,2,0,0.35,20210,70.6,269,3.8101983
1,25.2,2,0,1.4,20212,67.3,261,3.878157504
1,28.5,2,0,0,20212,62.7,173,2.759170654
1,28.5,2,70,0,20224,63.4,271,4.27444795
1,20.9,2,80,0,20234,58.1,164,2.822719449
1,29.8,2,70,0,20234,51.6,82,1.589147287
1,33,2,50,0,20237,67.4,228,3.382789318
2,34.1,2,40,0.7,20160,69.5,359,5.165467626
2,NA,2,40,1.4,20160,63.3,264,4.170616114
2,21.8,2,100,0,20161,62,230,3.709677419
2,20.6,2,100,1.05,20161,64.1,235,3.666146646
2,29.3,2,0,1.05,20174,64.5,208,3.224806202
2,28.6,2,0,0,20174,57.2,203,3.548951049
2,20.8,2,0,0,20174,51.3,102,1.988304094
2,18.1,2,70,0,20184,60.6,241,3.97689769
2,23.5,2,50,1.05,20184,65.4,258,3.944954128
2,31.2,2,50,1.05,20184,67.7,304,4.490398818
2,24.5,2,30,0,20184,50.3,102,2.027833002
2,30.9,2,30,0,20184,64.8,251,3.87345679
2,32.3,2,60,0,20184,65,269,4.138461538
2,33.6,2,60,0.35,20184,57.8,151,2.612456747
2,31.6,2,60,1.05,20184,68.3,217,3.17715959
2,29,2,60,0,20184,62.8,229,3.646496815
2,26.9,2,95,1.75,20185,68.8,272,3.953488372
2,27.4,2,95,1.05,20185,61.9,226,3.651050081
2,29.3,2,95,0.35,20185,65.7,278,4.231354642
2,33.6,2,10,0,20195,65.7,230,3.500761035
2,24.7,2,0,0.7,20197,60.3,172,2.852404643
2,18.9,2,15,0,20213,39.1,35,0.895140665
2,34.1,2,30,2.8,20213,67.2,204,3.035714286
2,24.5,2,100,1.4,20220,65.4,274,4.189602446
2,29,2,60,5.25,20223,53.5,105,1.962616822
2,24.9,2,5,0.35,20223,66.2,171,2.583081571
2,26.7,2,65,1.4,20234,64.6,245,3.792569659
2,16.9,2,20,0,20237,55,125,2.272727273
2,35.8,2,0,1.4,20255,60.1,202,3.361064892
2,28.6,2,100,1.75,20260,34,27,0.794117647
1,22.9,1,75,0,20168,76.8,366,4.765625
1,20.4,1,75,0.35,20168,69.2,255,3.684971098
1,20,1,5,0,20169,61.2,198,3.235294118
1,31.3,1,10,0,20169,71.9,284,3.949930459
1,23.3,1,40,0,20169,73.5,320,4.353741497
1,31.8,1,5,0,20177,80.2,382,4.763092269
1,31.3,1,50,0,20183,60.4,184,3.046357616
1,24.5,1,60,0,20183,83.4,378,4.532374101
1,25.5,1,90,0,20183,74.1,308,4.156545209
1,28.3,1,90,0,20189,87.8,538,6.127562642
1,37.6,1,65,0.7,20189,76.3,393,5.150720839
1,31,1,5,0,20195,54.5,131,2.403669725
1,32.5,1,5,0,20195,62,154,2.483870968
1,35.4,1,0,0,20196,71.2,256,3.595505618
1,27.3,1,70,0.35,20203,80.3,374,4.657534247
1,23.2,1,70,0,20203,70.8,216,3.050847458
1,21.5,1,0,0.35,20204,71,229,3.225352113
1,24.8,1,0,0,20204,70.2,237,3.376068376
1,26.1,1,0,1.05,20204,71.6,208,2.905027933
1,30.9,1,0,0,20204,80.1,358,4.469413233
1,33.4,1,0,0,20204,69.8,242,3.467048711
1,27.8,1,0,0,20209,73.4,291,3.964577657
1,31.3,1,0,1.75,20210,75.7,386,5.099075297
1,31,1,0,0,20212,72.7,283,3.892709766
1,24.9,1,90,0,20213,58.5,132,2.256410256
1,20.9,1,10,0,20216,73.5,284,3.863945578
1,36.6,1,0,0,20216,75.6,235,3.108465608
1,23.1,1,10,0,20219,64.1,184,2.870514821
1,18.7,1,15,0,20219,66,175,2.651515152
1,30.5,1,10,0,20226,66.3,187,2.820512821
1,30.2,1,0,1.05,20232,61.7,174,2.820097245
1,31.2,1,60,0,20234,40.6,44,1.083743842
1,32.9,1,0,0,20245,73,261,3.575342466
1,30.6,1,0,0,20245,66.4,192,2.891566265
1,14.4,1,0,0,20248,73.1,229,3.132694938
2,22.6,1,5,0,20170,78.6,341,4.338422392
2,29.3,1,5,1.4,20177,41.8,68,1.626794258
2,28.2,1,40,5.95,20179,75.3,368,4.887118194
2,31.9,1,40,2.1,20179,73.4,375,5.108991826
2,31.9,1,60,0.35,20184,71.2,239,3.356741573
2,27.3,1,100,0,20185,72.7,261,3.590096286
2,27.1,1,100,0.7,20185,56.2,138,2.455516014
2,25.7,1,95,0,20185,51,92,1.803921569
2,28.9,1,95,0,20185,45.7,62,1.356673961
2,25.6,1,10,1.05,20192,36.8,45,1.222826087
2,21.5,1,0,0,20195,77.2,313,4.054404145
2,26.5,1,0,0,20195,50.5,77,1.524752475
2,29.8,1,10,0.35,20195,69.5,215,3.09352518
2,23.3,1,0,1.75,20197,80.1,319,3.982521848
2,23.5,1,0,0,20197,69.4,303,4.365994236
2,34.3,1,0,0,20197,71.9,289,4.019471488
2,29.3,1,15,2.1,20201,60.1,139,2.31281198
2,29.4,1,25,0.35,20202,70.6,261,3.696883853
2,30.3,1,90,1.4,20220,80.2,395,4.925187032
2,24.9,1,80,0,20226,72.8,249,3.42032967
2,25.9,1,60,2.1,20233,75.2,275,3.656914894
2,26.3,1,0,1.05,20240,82.5,343,4.157575758
2,36.7,1,0,2.45,20255,65.2,170,2.607361963
2,37.9,1,0,0,20255,74.2,252,3.396226415
2,22.7,1,90,1.05,20275,42.4,61,1.438679245
