Site,BodyTemp,Sex,Weather,RattleDistance,Julian.Date,SVLCM,WeightG,BodyCondition,BCU
1,32.3,1,0,0.61,147,82.1,510,16.0980392,6.211936663
2,28,2,1,1.42,150,71,295,24.0677966,4.154929577
2,29.9,1,1,5.82,153,98.2,838,11.7183771,8.533604888
2,33.9,1,3,4.27,154,75,350,21.4285714,4.666666667
2,37.8,1,0,5.63,154,69.5,296,23.4797297,4.258992806
2,26.5,1,0,0.72,154,73.1,368,19.8641304,5.034199726
1,31,1,0,0.1,155,80.7,547,14.7531993,6.77819083
1,31.4,1,0,0,155,83.5,528,15.8143939,6.323353293
1,24.6,1,0,0.36,155,83.5,508,16.4370079,6.083832335
2,21.7,1,10,5.1,156,103.4,688,15.0290698,6.65377176
2,23.5,1,10,7.21,156,69.2,297,23.2996633,4.291907514
2,24.4,1,10,2.49,156,88.3,537,16.443203,6.081540204
2,27,1,10,5.73,156,70.8,295,24,4.166666667
2,22.7,2,10,1.1,156,63.5,170,37.3529412,2.677165354
2,24.4,1,10,4.22,156,89.5,400,22.375,4.469273743
1,22.9,2,2,0,157,41.8,61,68.5245902,1.459330144
1,23.5,1,4,0.36,161,83.6,425,19.6705882,5.083732057
2,28,1,0,5.12,162,86.4,557,15.5116697,6.446759259
2,26.7,2,1,4.65,162,82.5,490,16.8367347,5.939393939
1,21.6,1,0,0,164,82.9,441,18.7981859,5.319662244
1,26.8,1,0,0.71,164,64.4,283,22.7561837,4.394409938
1,34.1,2,0,2.13,164,71.5,285,25.0877193,3.986013986
1,34.4,1,0,0.71,164,70.9,322,22.0186335,4.541607898
2,24.9,1,0,0.73,166,92.4,655,14.1068702,7.088744589
2,30.4,1,0,0,166,57.8,262,22.0610687,4.532871972
2,25.4,1,0,1.42,166,77,251,30.6772908,3.25974026
2,24.8,1,0,3.28,166,65.5,371,17.6549865,5.664122137
2,27.6,1,0,3.66,166,73.7,330,22.3333333,4.47761194
2,35.2,1,1,1.78,166,74.3,334,22.245509,4.495289367
2,23.2,2,1,3.2,177,72.9,350,20.8285714,4.801097394
2,30.2,2,0,3.56,177,50,149,33.557047,2.98
2,29.3,2,0,2.49,177,74.3,412,18.0339806,5.545087483
2,29.3,2,0,0.38,177,49.5,103,48.0582524,2.080808081
2,24.6,2,2,3.91,177,51.5,97,53.0927835,1.883495146
2,25.8,1,4,7,177,83.1,478,17.3849372,5.752105897
1,29.4,1,10,0.71,180,61.3,153,40.0653595,2.495921697
1,25.4,2,10,0.01,180,65.2,240,27.1666667,3.680981595
1,29.2,1,10,0.72,180,90.5,612,14.7875817,6.762430939
1,28.8,1,3,0.01,182,76.5,450,17,5.882352941
2,18.2,2,0,5.5,184,54.5,181,30.1104972,3.321100917
1,27.6,1,10,1.42,186,92.4,570,16.2105263,6.168831169
1,29.2,2,10,0.71,186,55.4,165,33.5757576,2.97833935
2,30.2,1,1,10.1,190,98,833,11.7647059,8.5
1,26.6,1,3,1.07,191,75.9,350,21.6857143,4.611330698
1,21.9,1,10,0,198,95.3,838,11.372315,8.793284365
1,26.9,2,2,1.42,200,70.3,242,29.0495868,3.442389758
1,23.4,1,10,0.01,200,64.2,142,45.2112676,2.211838006
1,31.2,1,0,4.27,206,94.9,570,16.6491228,6.006322445
1,31,2,0,7.52,206,74.2,250,29.68,3.369272237
2,18.9,1,2,6.27,211,92.4,700,13.2,7.575757576
1,23.5,1,0,0.72,217,73.6,362,20.3314917,4.918478261
2,23.6,1,0,5.4,218,89.1,489,18.2208589,5.488215488
2,24.9,1,0,0.72,218,48.2,74,65.1351351,1.53526971
2,27.1,1,0,0,218,88.2,592,14.8986486,6.712018141
2,36.8,1,0,3.2,218,88.9,506,17.56917,5.691788526
1,26.8,2,0,0,224,74.1,407,18.2063882,5.492577598
2,28.5,1,8,3.2,225,78,248,31.4516129,3.179487179
1,26.7,1,0,4.27,227,55.9,144,38.8194444,2.576028623
1,27.8,1,10,0.01,228,73.5,359,20.4735376,4.884353741
2,29.2,2,2,1.42,231,57.6,131,43.9694656,2.274305556
1,30,2,0,0.01,232,38.6,45,85.7777778,1.165803109
1,22.6,1,4,0,233,85.3,487,17.5154004,5.70926143
1,33.9,2,10,1.42,233,60.1,182,33.021978,3.02828619
1,20.6,1,0,2.13,234,94.5,613,15.4159869,6.486772487
1,29.6,1,0,2.84,234,54,151,35.7615894,2.796296296
1,38.5,2,0,1.42,234,74.9,362,20.6906077,4.833110814
1,32.9,1,0,1.42,234,69.1,235,29.4042553,3.400868307
1,33.4,1,0,2.13,234,69.2,269,25.7249071,3.887283237
